Configuración;Modelo Base;Modelo LLM;Peso LLM;Threshold;Precision (%);Recall (%);F1-Score (%)
Solo BM25;BM25;gemma3_27b-it-q4_K_M;0,00;0,30;84,86;47,57;60,96
Híbrido (40% BM25 + 60% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,60;0,60;92,88;45,34;60,93
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,60;0,50;92,35;45,34;60,82
Híbrido (70% BM25 + 30% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,30;0,50;89,22;46,04;60,73
Híbrido (60% BM25 + 40% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,40;0,60;92,94;43,95;59,68
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,30;0,50;81,95;46,73;59,52
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,60;0,50;92,38;43,81;59,43
Híbrido (60% BM25 + 40% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,40;0,60;92,11;43,81;59,38
Híbrido (50% BM25 + 50% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,50;0,60;92,88;43,53;59,28
Híbrido (40% BM25 + 60% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,60;0,60;93,11;43,25;59,07
Híbrido (50% BM25 + 50% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,50;0,60;93,11;43,25;59,07
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,30;0,50;79,19;46,04;58,22
Solo BM25;BM25;gemma3_27b-it-q4_K_M;0,00;0,50;87,75;42,84;57,57
Híbrido (70% BM25 + 30% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,30;0,60;91,19;41,72;57,25
Híbrido (70% BM25 + 30% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,30;0,60;91,69;41,45;57,09
Híbrido (30% BM25 + 70% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,70;0,70;95,74;40,61;57,03
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,50;0,60;90,60;40,19;55,68
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,50;0,60;87,16;40,61;55,41
Híbrido (40% BM25 + 60% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,60;0,70;94,86;38,53;54,80
Solo BM25;BM25;gemma3_27b-it-q4_K_M;0,00;0,60;89,27;39,36;54,63
Híbrido (30% BM25 + 70% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,70;0,70;93,81;37,97;54,06
Híbrido (40% BM25 + 60% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,60;0,70;93,79;37,83;53,91
Solo BERT (TF-IDF+BERT);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,00;0,30;39,56;80,95;53,15
Híbrido (50% BM25 + 50% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,50;0,70;94,60;36,58;52,76
Solo BM25;BM25;gemma3_27b-it-q4_K_M;0,00;0,70;90,82;37,13;52,71
Híbrido (70% BM25 + 30% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,30;0,70;93,29;36,72;52,69
Híbrido (70% BM25 + 30% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,30;0,70;92,63;36,72;52,59
Híbrido (60% BM25 + 40% gemma3_27b-it-q8_0);BM25;gemma3_27b-it-q8_0;0,40;0,70;94,24;36,44;52,56
Híbrido (50% BM25 + 50% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,50;0,70;94,22;36,30;52,41
Híbrido (60% BM25 + 40% gemma3_27b-it-q4_K_M);BM25;gemma3_27b-it-q4_K_M;0,40;0,70;94,55;36,16;52,31
Solo BERT (TF-IDF+BERT);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,00;0,40;54,44;50,35;52,31
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,70;0,70;90,21;35,88;51,34
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,70;0,60;94,25;34,21;50,20
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,30;0,30;95,31;33,94;50,05
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,30;0,30;95,18;32,96;48,97
Híbrido (30% BERT (TF-IDF+BERT) + 70% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,70;0,70;90,38;30,04;45,09
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,40;0,60;87,24;29,49;44,07
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,40;0,60;88,29;27,26;41,66
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,70;0,60;95,50;26,56;41,57
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,40;0,40;98,94;26,01;41,19
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,60;0,70;92,35;23,50;37,47
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,30;0,60;86,96;22,25;35,44
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,40;0,40;96,30;21,70;35,41
Solo BERT (TF-IDF+BERT);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,00;0,50;62,82;24,20;34,94
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,30;0,60;87,57;21,56;34,60
Híbrido (40% BERT (TF-IDF+BERT) + 60% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,60;0,70;92,72;19,47;32,18
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,50;0,70;95,37;14,33;24,91
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,50;0,50;100,00;13,35;23,56
Híbrido (50% BERT (TF-IDF+BERT) + 50% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,50;0,70;93,33;11,68;20,77
Solo BERT (TF-IDF+BERT);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,00;0,60;70,83;11,82;20,26
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,50;0,50;100,00;11,13;20,03
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,40;0,70;97,40;10,43;18,84
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,60;0,60;100,00;8,76;16,11
Híbrido (60% BERT (TF-IDF+BERT) + 40% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,40;0,70;92,31;8,34;15,31
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q8_0);BERT (TF-IDF+BERT);gemma3_27b-it-q8_0;0,30;0,70;96,15;6,95;12,97
Híbrido (70% BERT (TF-IDF+BERT) + 30% gemma3_27b-it-q4_K_M);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,30;0,70;89,80;6,12;11,46
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,60;0,60;100,00;5,98;11,29
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,30;0,40;100,00;2,92;5,68
Solo BERT (TF-IDF+BERT);BERT (TF-IDF+BERT);gemma3_27b-it-q4_K_M;0,00;0,70;75,00;2,92;5,62
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,30;0,40;100,00;2,23;4,35
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,70;0,70;100,00;1,81;3,55
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,40;0,50;100,00;0,83;1,66
Híbrido (30% Keyword Matching + 70% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,70;0,70;100,00;0,83;1,66
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,40;0,50;100,00;0,83;1,66
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,50;0,60;100,00;0,70;1,38
